#EC;PRODUTO;CAMPO;VALOR_STAR;VALOR_SEC;EC_MATRIZ
"1002511663";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002511663"
"1002511663";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002511663"
"1002511663";"20";"FATOR_1";"3.73";"SEM VALOR";"1002511663"
"1002511663";"20";"FATOR_2";"0.00";"SEM VALOR";"1002511663"
"1002511663";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002511663"
"1002511663";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002511663"
"1002511663";"40";"FATOR_1";"3.73";"SEM VALOR";"1002511663"
"1002511663";"40";"FATOR_2";"0.00";"SEM VALOR";"1002511663"
"1002511663";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002511663"
"1002511663";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002511663"
"1002553455";"10";"FATOR_1";"2.99";"SEM VALOR";"1002553455"
"1002553455";"10";"FATOR_2";"0.00";"SEM VALOR";"1002553455"
"1002553455";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002553455"
"1002553455";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002553455"
"1002553455";"20";"FATOR_1";"2.99";"SEM VALOR";"1002553455"
"1002553455";"20";"FATOR_2";"0.00";"SEM VALOR";"1002553455"
"1002553455";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002553455"
"1002553455";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002553455"
"1002553455";"40";"FATOR_1";"2.99";"SEM VALOR";"1002553455"
"1002553455";"40";"FATOR_2";"0.00";"SEM VALOR";"1002553455"
"1002553455";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002553455"
"1002553455";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002553455"
"1002643748";"10";"FATOR_1";"5.16";"SEM VALOR";"1002643748"
"1002643748";"10";"FATOR_2";"0.00";"SEM VALOR";"1002643748"
"1002643748";"10";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002643748"
"1002643748";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002643748"
"1002643748";"20";"FATOR_1";"5.16";"SEM VALOR";"1002643748"
"1002643748";"20";"FATOR_2";"0.00";"SEM VALOR";"1002643748"
"1002643748";"20";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002643748"
"1002643748";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002643748"
"1002643748";"40";"FATOR_1";"5.16";"SEM VALOR";"1002643748"
"1002643748";"40";"FATOR_2";"0.00";"SEM VALOR";"1002643748"
"1002643748";"40";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002643748"
"1002643748";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002643748"
"1002648618";"10";"FATOR_1";"4.49";"SEM VALOR";"1002648618"
"1002648618";"10";"FATOR_2";"0.00";"SEM VALOR";"1002648618"
"1002648618";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002648618"
"1002648618";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002648618"
"1002648618";"20";"FATOR_1";"4.49";"SEM VALOR";"1002648618"
"1002648618";"20";"FATOR_2";"0.00";"SEM VALOR";"1002648618"
"1002648618";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002648618"
"1002648618";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002648618"
"1002648618";"40";"FATOR_1";"4.49";"SEM VALOR";"1002648618"
"1002648618";"40";"FATOR_2";"0.00";"SEM VALOR";"1002648618"
"1002648618";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002648618"
"1002648618";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002648618"
"1002671199";"10";"FATOR_1";"4.82";"SEM VALOR";"1002671199"
"1002671199";"10";"FATOR_2";"0.00";"SEM VALOR";"1002671199"
"1002671199";"10";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002671199"
"1002671199";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002671199"
"1002671199";"20";"FATOR_1";"4.82";"SEM VALOR";"1002671199"
"1002671199";"20";"FATOR_2";"0.00";"SEM VALOR";"1002671199"
"1002671199";"20";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002671199"
"1002671199";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002671199"
"1002671199";"40";"FATOR_1";"4.82";"SEM VALOR";"1002671199"
"1002671199";"40";"FATOR_2";"0.00";"SEM VALOR";"1002671199"
"1002671199";"40";"PRAZO_LIQUIDACAO_FLEX";"2";"0";"1002671199"
"1002671199";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002671199"
"1002697228";"10";"FATOR_1";"3.99";"SEM VALOR";"1002697228"
"1002697228";"10";"FATOR_2";"0.00";"SEM VALOR";"1002697228"
"1002697228";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002697228"
"1002697228";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002697228"
"1002697228";"20";"FATOR_1";"3.99";"SEM VALOR";"1002697228"
"1002697228";"20";"FATOR_2";"0.00";"SEM VALOR";"1002697228"
"1002697228";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002697228"
"1002697228";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002697228"
"1002697228";"40";"FATOR_1";"3.99";"SEM VALOR";"1002697228"
"1002697228";"40";"FATOR_2";"0.00";"SEM VALOR";"1002697228"
"1002697228";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002697228"
"1002697228";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002697228"
"1002770367";"10";"FATOR_1";"3.99";"SEM VALOR";"1002770367"
"1002770367";"10";"FATOR_2";"0.00";"SEM VALOR";"1002770367"
"1002770367";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002770367"
"1002770367";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002770367"
"1002770367";"20";"FATOR_1";"3.99";"SEM VALOR";"1002770367"
"1002770367";"20";"FATOR_2";"0.00";"SEM VALOR";"1002770367"
"1002770367";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002770367"
"1002770367";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002770367"
"1002770367";"40";"FATOR_1";"3.99";"SEM VALOR";"1002770367"
"1002770367";"40";"FATOR_2";"0.00";"SEM VALOR";"1002770367"
"1002770367";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002770367"
"1002770367";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002770367"
"1002829868";"10";"FATOR_1";"2.02";"SEM VALOR";"1002829868"
"1002829868";"10";"FATOR_2";"0.00";"SEM VALOR";"1002829868"
"1002829868";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002829868"
"1002829868";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002829868"
"1002829868";"20";"FATOR_1";"2.02";"SEM VALOR";"1002829868"
"1002829868";"20";"FATOR_2";"0.00";"SEM VALOR";"1002829868"
"1002829868";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002829868"
"1002829868";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002829868"
"1002829868";"40";"FATOR_1";"2.02";"SEM VALOR";"1002829868"
"1002829868";"40";"FATOR_2";"0.00";"SEM VALOR";"1002829868"
"1002829868";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002829868"
"1002829868";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002829868"
"1002833890";"10";"FATOR_1";"4.49";"SEM VALOR";"1002833890"
"1002833890";"10";"FATOR_2";"0.00";"SEM VALOR";"1002833890"
"1002833890";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002833890"
"1002833890";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002833890"
"1002833890";"20";"FATOR_1";"4.49";"SEM VALOR";"1002833890"
"1002833890";"20";"FATOR_2";"0.00";"SEM VALOR";"1002833890"
"1002833890";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002833890"
"1002833890";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002833890"
"1002833890";"40";"FATOR_1";"4.49";"SEM VALOR";"1002833890"
"1002833890";"40";"FATOR_2";"0.00";"SEM VALOR";"1002833890"
"1002833890";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002833890"
"1002833890";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002833890"
"1002842376";"10";"FATOR_1";"3.49";"SEM VALOR";"1002842376"
"1002842376";"10";"FATOR_2";"0.00";"SEM VALOR";"1002842376"
"1002842376";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002842376"
"1002842376";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002842376"
"1002842376";"20";"FATOR_1";"3.49";"SEM VALOR";"1002842376"
"1002842376";"20";"FATOR_2";"0.00";"SEM VALOR";"1002842376"
"1002842376";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002842376"
"1002842376";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002842376"
"1002842376";"40";"FATOR_1";"3.49";"SEM VALOR";"1002842376"
"1002842376";"40";"FATOR_2";"0.00";"SEM VALOR";"1002842376"
"1002842376";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002842376"
"1002842376";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002842376"
"1002867158";"10";"FATOR_1";"4.49";"SEM VALOR";"1002867158"
"1002867158";"10";"FATOR_2";"0.00";"SEM VALOR";"1002867158"
"1002867158";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002867158"
"1002867158";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002867158"
"1002867158";"20";"FATOR_1";"4.49";"SEM VALOR";"1002867158"
"1002867158";"20";"FATOR_2";"0.00";"SEM VALOR";"1002867158"
"1002867158";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002867158"
"1002867158";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002867158"
"1002867158";"40";"FATOR_1";"4.49";"SEM VALOR";"1002867158"
"1002867158";"40";"FATOR_2";"0.00";"SEM VALOR";"1002867158"
"1002867158";"40";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002867158"
"1002867158";"40";"STATUS_SERVICO";"S";"SEM VALOR";"1002867158"
"1002996900";"10";"FATOR_1";"2.99";"SEM VALOR";"1002996900"
"1002996900";"10";"FATOR_2";"0.00";"SEM VALOR";"1002996900"
"1002996900";"10";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002996900"
"1002996900";"10";"STATUS_SERVICO";"S";"SEM VALOR";"1002996900"
"1002996900";"20";"FATOR_1";"2.99";"SEM VALOR";"1002996900"
"1002996900";"20";"FATOR_2";"0.00";"SEM VALOR";"1002996900"
"1002996900";"20";"PRAZO_LIQUIDACAO_FLEX";"5";"0";"1002996900"
"1002996900";"20";"STATUS_SERVICO";"S";"SEM VALOR";"1002996900"
"1002996900";"40";"FATOR_1";"2.99";"SEM VALOR";"1002996900"
